Date,Canal,Campagne,Région,Device,Impressions,Clicks,CTR,CPC,Spend,Sessions,Leads,Conversions,Revenue,ROAS,Bounce Rate
2025-01-01,Google Ads,Winter Sale,Europe,Mobile,120000,5400,4.5,0.75,4050,4800,320,85,15200,3.75,42
2025-01-02,Facebook Ads,Lead Gen Q1,Europe,Desktop,98000,4100,4.18,0.62,2542,3900,280,70,12100,4.76,39
2025-01-03,LinkedIn,Enterprise B2B,Amérique du Nord,Desktop,45000,1250,2.78,2.5,3125,1180,210,42,18600,5.95,33
2025-01-04,Instagram,Brand Awareness,Asie,Mobile,210000,7200,3.43,0.48,3456,6900,390,95,17400,5.03,47
2025-01-05,TikTok,Flash Promo,Europe,Mobile,320000,12800,4.0,0.31,3968,11900,580,120,22800,5.75,51
2025-01-06,Google Ads,Search High Intent,Afrique,Desktop,56000,3400,6.07,0.92,3128,2950,260,74,14300,4.57,36
2025-01-07,Facebook Ads,Retargeting,Moyen-Orient,Mobile,88000,5300,6.02,0.55,2915,4700,340,88,16500,5.66,38
2025-01-08,LinkedIn,SaaS Webinar,Europe,Desktop,39000,980,2.51,3.1,3038,940,180,39,14900,4.9,29
2025-01-09,Instagram,New Product Launch,Asie,Mobile,260000,9100,3.5,0.42,3822,8300,470,101,21100,5.52,44
2025-01-10,TikTok,Influencer Push,Amérique du Nord,Mobile,410000,16400,4.0,0.28,4592,15100,720,142,27900,6.08,53
2025-01-11,Google Ads,Remarketing,Europe,Desktop,74000,3900,5.27,0.81,3159,3500,240,66,13400,4.24,37
2025-01-12,Facebook Ads,Promo Weekend,Afrique,Mobile,132000,5900,4.47,0.51,3009,5200,310,81,14700,4.89,46
2025-01-13,LinkedIn,B2B Outreach,Europe,Desktop,51000,1430,2.8,2.85,4075,1320,240,51,20100,4.93,31
2025-01-14,Instagram,Stories Campaign,Moyen-Orient,Mobile,175000,6700,3.83,0.44,2948,6100,350,76,15800,5.36,43
